"","YEAR","BORO","INCIDENTS"
"1",2006,"BRONX",568
"2",2006,"BROOKLYN",850
"3",2006,"MANHATTAN",288
"4",2006,"QUEENS",296
"5",2006,"STATEN ISLAND",53
"6",2007,"BRONX",533
"7",2007,"BROOKLYN",833
"8",2007,"MANHATTAN",233
"9",2007,"QUEENS",238
"10",2007,"STATEN ISLAND",50
"11",2008,"BRONX",520
"12",2008,"BROOKLYN",785
"13",2008,"MANHATTAN",259
"14",2008,"QUEENS",326
"15",2008,"STATEN ISLAND",69
"16",2009,"BRONX",529
"17",2009,"BROOKLYN",770
"18",2009,"MANHATTAN",196
"19",2009,"QUEENS",278
"20",2009,"STATEN ISLAND",55
"21",2010,"BRONX",525
"22",2010,"BROOKLYN",805
"23",2010,"MANHATTAN",260
"24",2010,"QUEENS",288
"25",2010,"STATEN ISLAND",34
"26",2011,"BRONX",571
"27",2011,"BROOKLYN",839
"28",2011,"MANHATTAN",215
"29",2011,"QUEENS",264
"30",2011,"STATEN ISLAND",50
"31",2012,"BRONX",531
"32",2012,"BROOKLYN",651
"33",2012,"MANHATTAN",196
"34",2012,"QUEENS",290
"35",2012,"STATEN ISLAND",49
"36",2013,"BRONX",371
"37",2013,"BROOKLYN",593
"38",2013,"MANHATTAN",138
"39",2013,"QUEENS",185
"40",2013,"STATEN ISLAND",52
"41",2014,"BRONX",446
"42",2014,"BROOKLYN",614
"43",2014,"MANHATTAN",143
"44",2014,"QUEENS",218
"45",2014,"STATEN ISLAND",43
"46",2015,"BRONX",409
"47",2015,"BROOKLYN",583
"48",2015,"MANHATTAN",187
"49",2015,"QUEENS",205
"50",2015,"STATEN ISLAND",50
"51",2016,"BRONX",308
"52",2016,"BROOKLYN",498
"53",2016,"MANHATTAN",167
"54",2016,"QUEENS",191
"55",2016,"STATEN ISLAND",44
"56",2017,"BRONX",306
"57",2017,"BROOKLYN",357
"58",2017,"MANHATTAN",117
"59",2017,"QUEENS",144
"60",2017,"STATEN ISLAND",46
"61",2018,"BRONX",313
"62",2018,"BROOKLYN",365
"63",2018,"MANHATTAN",105
"64",2018,"QUEENS",150
"65",2018,"STATEN ISLAND",25
"66",2019,"BRONX",267
"67",2019,"BROOKLYN",372
"68",2019,"MANHATTAN",146
"69",2019,"QUEENS",156
"70",2019,"STATEN ISLAND",26
"71",2020,"BRONX",504
"72",2020,"BROOKLYN",819
"73",2020,"MANHATTAN",272
"74",2020,"QUEENS",303
"75",2020,"STATEN ISLAND",50
"76",2021,"BRONX",701
"77",2021,"BROOKLYN",631
"78",2021,"MANHATTAN",343
"79",2021,"QUEENS",296
"80",2021,"STATEN ISLAND",40
"81",2022,"BRONX",535
"82",2022,"BROOKLYN",568
"83",2022,"MANHATTAN",307
"84",2022,"QUEENS",266
"85",2022,"STATEN ISLAND",40
"86",2023,"BRONX",439
"87",2023,"BROOKLYN",413
"88",2023,"MANHATTAN",190
"89",2023,"QUEENS",177
"90",2023,"STATEN ISLAND",31
